date,userId,amount
2024-02-15,4ab67531-e103-4b29-92d6-246927bd64a0,5250.0
2024-03-28,073d8401-e882-4dc0-a104-c212f6019ebd,744.78
2024-04-04,8b293101-dfef-43ed-9095-ac05a1507d34,81.818
2024-04-21,80308098-8d24-4be6-96c2-f4c2c5e03699,1739.13
2024-04-25,f50d0778-fab9-47c1-bf7d-a23e9649e127,9.091
2024-04-30,60cddb49-50de-43ce-89fc-c6dd1ce17c41,113043.48
2024-05-09,813ee3cd-2349-43ae-8915-f0a2c12b4245,9.091
2024-05-14,fdc31437-bc6b-4405-ae92-d44a63ac763d,50.0
